Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z
5.26,1.1,-4.99,75.5,177.81,115.37
10.43,-0.09,-4.6,0.13,45.25,123.81
8.27,-1.38,-3.83,-8.38,93.31,106.81
2.94,-1.68,0.7,40.75,41.0,87.25
9.28,-6.36,2.11,-13.56,-40.88,2.37
6.99,-6.25,-2.32,11.0,-5.69,9.94
6.84,-4.9,-0.02,17.81,27.25,6.25
6.32,-5.32,0.4,14.06,5.0,13.63
6.18,-5.47,0.71,8.75,-2.44,5.56
6.4,-5.13,0.32,5.87,-0.62,1.12
6.21,-5.32,0.47,5.81,-2.5,1.69
6.21,-5.26,0.73,7.5,-1.19,1.56
6.22,-5.23,0.71,4.5,-1.5,1.0
6.19,-5.22,0.9,0.19,0.44,-1.0
6.22,-5.18,0.73,-0.69,0.06,-0.75
6.21,-5.2,0.79,0.06,0.69,-0.56
6.27,-5.2,0.74,0.31,0.25,-0.13
6.24,-5.18,0.72,0.25,0.19,0.06
6.24,-5.24,0.75,1.0,-0.44,0.81
6.24,-5.21,0.78,1.19,-1.25,1.06
6.21,-5.2,0.82,1.31,-0.62,1.44
6.17,-5.26,0.8,0.88,-0.31,0.69
6.18,-5.26,0.81,0.31,-0.19,0.31
6.15,-5.23,0.84,0.94,0.0,0.94
6.19,-5.3,0.84,1.19,-0.56,1.44
6.15,-5.28,0.82,1.12,-0.62,1.37
6.15,-5.28,0.84,0.75,-0.62,1.0
6.11,-5.33,0.91,0.25,-0.31,0.62
6.12,-5.27,0.83,0.25,-0.56,0.56
6.12,-5.33,0.84,-0.25,-0.5,0.31
6.06,-5.31,0.82,-0.5,-0.31,0.0
6.06,-5.31,0.8,-0.75,-0.19,0.06
6.11,-5.33,0.83,-0.62,0.0,-0.44
6.17,-5.3,0.82,-0.19,-0.31,-0.31
6.11,-5.29,0.82,-0.13,-0.19,-0.19
6.11,-5.34,0.81,-0.81,0.06,-0.56
6.15,-5.3,0.75,-0.25,0.13,-0.37
6.14,-5.29,0.81,-0.13,-0.37,0.06
6.12,-5.29,0.81,0.0,0.75,-0.56
6.18,-5.29,0.82,0.0,0.13,-0.25
6.16,-5.36,0.76,-0.44,-0.13,-0.31
6.14,-5.27,0.79,-0.62,-0.37,-0.13
6.18,-5.28,0.78,-0.31,-0.19,-0.44
6.13,-5.3,0.77,-0.19,-0.56,0.0
6.15,-5.29,0.78,-0.19,-0.44,0.06
6.16,-5.29,0.8,-0.37,-0.44,0.06
6.09,-5.28,0.71,-0.75,-0.44,-0.56
6.16,-5.26,0.74,-0.56,0.19,-0.37
6.14,-5.3,0.72,-0.56,-0.19,-0.37
6.17,-5.28,0.77,-0.81,-0.56,-0.37
6.21,-5.25,0.74,-0.81,-0.25,-0.44
6.14,-5.3,0.74,-1.62,-0.37,-0.06
6.21,-5.28,0.66,-1.31,-0.81,-0.13
6.17,-5.29,0.69,-1.25,-0.62,-0.37
6.18,-5.32,0.64,-1.69,-0.81,-0.56
7.13,-5.94,0.89,-0.88,-9.25,-0.75
6.53,-5.84,-0.31,-47.75,-122.87,-4.87
6.56,-5.09,-2.7,-45.63,-59.06,-10.81
12.38,-5.59,-3.48,-88.31,-275.06,-18.12
1.91,0.97,-15.07,-208.0,-83.56,-91.25
0.92,4.48,-12.19,-204.0,-33.63,-168.81
3.7,4.36,-10.14,-124.44,157.0,-140.81
5.14,1.74,-2.78,-75.69,157.5,-55.88
1.1,1.95,-2.44,-12.5,32.13,2.5
-0.77,1.07,-1.6,20.25,91.81,140.44
18.88,-1.26,-9.08,37.88,97.94,261.06
23.9,4.98,-8.98,-24.69,37.06,-46.44
8.86,1.8,-1.94,-13.25,-32.38,-201.37
-5.77,-0.11,0.68,6.44,27.69,-55.63
4.56,2.23,-1.66,10.56,39.5,184.31
27.44,4.29,-6.33,11.56,26.56,125.94
15.8,2.75,-2.51,-6.25,-7.19,-160.06
-3.02,0.9,0.03,-12.0,6.87,-107.5
0.61,1.42,-1.46,6.31,-15.44,127.44
21.54,3.43,-4.89,19.87,47.63,159.62
16.73,2.99,-2.87,-15.25,7.56,-130.81
-0.99,1.99,-0.52,-13.88,-33.81,-150.06
-1.43,0.93,-1.04,5.0,-15.13,71.94
16.24,2.53,-3.75,16.19,58.94,167.19
22.75,4.63,-3.65,-1.69,5.37,-73.62
2.71,1.86,-0.9,-1.12,-90.56,-202.62
-4.56,1.41,-0.82,6.62,-4.31,6.19
7.54,2.16,-2.68,6.19,67.56,189.56
24.28,3.11,-4.77,4.94,-12.44,71.81
11.66,1.86,-2.0,4.75,-68.69,-193.44
-2.09,1.8,-0.45,-11.94,-4.19,-84.87
0.1,1.48,-0.77,2.5,19.62,134.5
19.24,1.81,-2.67,22.94,16.37,150.31
18.74,3.36,-3.2,-6.5,8.81,-111.12
6.7,1.82,-1.71,-13.63,-59.0,-183.5
-4.65,2.36,-0.05,-20.12,13.88,-5.37
7.0,3.01,-1.31,1.94,66.81,223.87
23.35,3.37,-4.76,5.37,24.06,89.25
15.88,2.1,-2.92,2.87,-41.5,-166.31
2.39,1.68,-1.25,-10.0,-63.88,-187.87
-3.18,2.16,-0.78,9.31,1.81,35.75
6.62,2.07,-1.99,18.44,53.88,185.56
19.68,2.71,-5.54,24.94,18.12,158.75
20.37,2.98,-4.0,-11.75,-5.44,-112.94
6.29,1.93,-2.01,-17.06,-74.12,-197.69
