Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z
2.96,0.02,4.14,9.94,17.19,10.5
2.99,-0.78,3.62,10.44,14.13,11.31
2.54,-1.38,1.8,10.0,6.56,9.75
1.76,-1.38,0.93,11.38,-3.0,6.87
0.78,-1.27,0.16,13.0,-9.5,2.62
-0.87,-0.9,-0.69,14.94,-8.88,-1.62
-1.29,-0.6,-0.71,16.81,-2.75,-5.12
-1.49,-0.41,-0.45,19.44,6.0,-7.56
-1.53,-0.29,-0.16,22.0,11.88,-8.13
-1.33,-0.34,0.86,25.87,12.5,-7.5
-1.29,-0.45,1.42,31.19,9.81,-6.37
-1.29,-0.59,1.54,35.63,8.0,-5.81
-1.34,-0.62,1.77,38.06,7.69,-4.94
-1.13,-0.75,1.54,39.44,5.25,-3.5
-1.2,-0.76,1.3,38.56,-1.25,-1.06
-1.14,-0.77,0.93,37.0,-9.25,1.94
-1.37,-0.94,0.19,35.81,-11.75,3.31
0.09,-1.22,0.4,36.0,-2.62,1.31
0.38,-1.37,0.87,30.81,3.06,4.37
0.18,-1.44,1.37,26.94,-5.5,9.94
0.05,-1.95,1.53,25.94,-14.19,12.75
-0.14,-2.3,1.49,25.87,-11.69,12.13
-0.19,-2.54,1.87,25.81,-5.44,12.44
0.13,-2.55,2.03,24.31,-2.94,12.94
0.12,-2.15,1.56,24.19,1.19,12.31
0.0,-1.98,1.36,25.19,9.0,11.69
-0.22,-1.82,1.25,25.69,17.75,10.75
-0.4,-1.61,1.12,25.5,22.62,10.13
-0.74,-1.23,1.13,25.81,24.25,9.69
-1.1,-1.05,1.13,25.94,24.94,8.75
-1.27,-0.88,1.1,25.75,26.44,7.0
-1.58,-0.58,0.96,25.69,28.06,5.12
-1.85,-0.51,0.73,25.69,29.0,5.5
-2.18,-0.43,0.38,26.06,30.5,7.69
-2.42,-0.37,0.14,25.87,34.06,10.75
-2.24,-0.09,0.01,25.44,38.56,13.38
-1.87,0.0,0.06,24.75,41.31,14.25
-1.53,0.01,0.07,23.81,37.0,14.06
-1.35,0.02,0.3,23.25,26.5,13.69
-1.22,0.06,0.53,23.87,15.88,12.5
-1.24,0.05,0.62,24.37,8.38,10.38
-1.19,0.05,0.81,24.69,3.12,8.44
-1.24,0.0,0.88,24.06,2.0,7.0
-1.03,-0.09,1.08,21.69,4.62,6.25
-0.36,-0.53,1.1,14.69,8.69,4.37
-1.09,0.77,1.81,13.0,11.94,4.87
0.49,0.12,2.43,14.81,15.19,10.5
0.89,-0.17,2.42,13.69,12.25,9.56
0.96,-0.42,2.49,13.25,8.06,9.0
0.93,-0.65,2.36,15.0,6.62,11.75
1.47,-1.53,1.64,10.75,7.62,11.44
1.35,-1.22,1.4,5.75,6.5,8.81
1.1,-1.12,1.0,8.5,5.87,8.94
0.85,-1.21,0.71,8.69,7.12,8.81
0.53,-1.35,0.16,3.5,8.06,8.94
0.43,-1.04,-0.06,-0.06,7.56,8.06
0.28,-0.76,-0.15,-3.5,6.5,5.5
0.28,-0.27,-0.07,-5.62,6.06,3.37
0.41,-0.08,0.41,-6.44,6.44,3.87
0.58,-0.05,0.77,-6.25,8.13,6.56
0.79,-0.18,1.18,-8.06,13.25,10.38
1.88,-0.56,2.75,-12.06,21.94,14.25
2.62,-0.78,3.22,-16.31,31.75,16.62
3.51,-1.11,3.47,-19.44,36.38,18.31
4.14,-1.53,3.48,-20.25,31.37,21.0
3.69,-2.25,3.01,-19.56,18.94,21.94
2.72,-2.36,1.91,-18.37,7.81,18.87
1.78,-2.38,0.85,-18.31,1.37,14.25
0.96,-2.3,-0.2,-19.44,-3.44,9.63
-0.68,-1.7,-1.8,-20.81,-7.31,4.69
-1.29,-1.3,-2.25,-20.25,-7.06,1.87
-1.63,-1.05,-2.33,-18.25,-0.81,-1.94
-1.74,-0.62,-1.78,-17.06,6.25,-5.62
-1.53,-0.53,-1.33,-14.13,10.63,-6.37
-1.32,-0.58,-1.02,-10.63,11.69,-6.56
-1.2,-0.74,-0.5,-9.44,10.31,-6.5
-0.55,-1.1,0.34,-9.81,9.06,-6.06
-0.15,-1.19,0.78,-11.06,7.81,-6.31
0.04,-1.27,1.16,-13.25,3.69,-6.5
0.13,-1.31,1.44,-15.38,-2.81,-5.94
0.26,-1.38,1.49,-17.81,-8.0,-6.0
0.26,-1.38,1.49,-19.56,-10.56,-7.19
-0.05,-1.58,1.08,-21.62,-12.38,-7.12
-0.05,-1.58,1.08,-23.94,-13.38,-7.19
-0.45,-1.62,0.71,-26.0,-15.25,-6.25
-0.6,-1.64,0.51,-27.56,-15.63,-5.31
-0.61,-1.64,0.35,-28.62,-12.44,-5.0
-0.7,-1.65,0.11,-29.37,-6.44,-4.19
-0.59,-1.78,-0.19,-30.19,-0.75,-3.5
-0.48,-1.79,-0.04,-30.12,3.87,-2.69
-0.36,-1.78,0.01,-30.19,6.62,-1.37
-0.32,-1.64,-0.03,-29.75,8.69,-0.37
0.02,-1.4,-0.41,-28.94,10.13,-0.31
-0.09,-1.24,-0.54,-27.56,8.5,0.94
-0.4,-1.11,-0.79,-26.37,7.25,2.87
-0.64,-0.98,-1.0,-25.69,8.75,3.56
-1.29,-0.43,-1.11,-24.44,8.75,7.25
-1.37,-0.3,-1.23,-24.0,8.81,9.75
-1.25,-0.22,-1.22,-22.87,9.31,10.31
-1.06,0.0,-0.72,-20.25,10.13,11.44
-0.55,0.0,-0.45,-17.5,10.0,11.06
