Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z
-2.03,1.22,-0.52,-73.81,2.75,-26.75
-1.92,1.29,-0.54,-73.25,3.19,-26.25
-1.87,1.45,-0.72,-72.25,2.37,-25.37
-1.75,1.65,-0.82,-70.5,0.62,-24.19
-1.74,1.99,-1.06,-67.44,-0.25,-21.06
-1.97,1.98,-1.4,-65.19,1.31,-19.31
-1.71,1.73,-1.47,-61.94,5.44,-17.69
-1.17,2.04,-1.23,-59.0,8.88,-15.69
-0.89,2.03,-1.19,-56.94,7.0,-11.25
-0.9,2.09,-1.27,-54.13,4.5,-10.0
-0.48,1.94,-1.36,-48.69,6.5,-10.44
-0.01,1.71,-1.25,-43.19,10.25,-11.06
0.05,1.81,-1.22,-38.31,9.56,-10.63
0.42,1.92,-1.11,-34.56,5.31,-9.44
0.62,1.96,-0.88,-30.94,0.06,-8.06
0.92,1.93,-0.4,-26.75,-7.5,-7.12
1.1,1.92,-0.22,-22.44,-16.0,-5.62
1.16,1.95,-0.34,-17.37,-24.25,-5.56
1.27,1.9,-0.31,-12.31,-30.37,-6.19
1.49,1.75,-0.85,-8.19,-35.75,-6.56
1.37,1.67,-0.93,-5.56,-40.0,-6.12
1.52,1.49,-0.69,-3.81,-39.25,-4.37
2.45,1.17,0.33,-3.19,-36.19,-2.06
2.31,1.36,0.83,-2.81,-34.0,-2.37
3.11,1.09,1.0,-3.44,-34.56,0.19
3.09,0.83,1.29,-2.44,-36.69,2.81
3.18,1.07,1.15,-1.75,-40.63,4.25
3.16,0.92,1.34,1.62,-41.31,10.56
2.59,1.01,1.09,1.31,-40.06,5.69
2.59,1.17,0.87,-2.12,-39.44,4.44
2.96,1.62,1.09,-4.12,-35.0,7.0
2.86,1.67,1.5,-4.62,-29.75,6.37
2.9,1.48,1.98,-2.87,-24.25,7.69
3.25,0.71,2.23,-0.5,-19.75,10.0
3.51,0.24,2.64,-0.75,-15.06,12.19
3.47,-0.27,2.6,-0.13,-10.44,11.81
3.38,-0.63,2.83,-0.31,-5.87,9.81
3.14,-1.0,2.31,-0.88,-6.06,7.81
2.25,-1.14,2.01,-0.88,-9.75,7.0
1.34,-0.98,1.49,-1.0,-12.75,7.94
0.78,-0.68,1.0,-2.37,-11.81,10.75
0.0,0.16,0.2,-4.12,-4.12,11.25
-0.32,0.32,-0.25,-2.31,5.06,9.13
-0.52,0.28,-0.52,1.44,11.13,9.88
-0.83,0.43,-0.64,5.56,11.56,8.25
-1.04,0.38,-0.83,11.19,6.06,5.25
-0.97,0.09,-0.9,16.06,1.25,6.56
-0.76,0.13,-0.67,19.44,-5.81,13.31
-1.29,0.62,0.61,22.12,-14.81,15.88
-1.25,0.46,1.24,28.94,-19.94,14.56
-0.93,-0.03,1.4,37.88,-17.06,11.06
-0.7,-0.75,1.16,44.75,-13.5,7.0
-0.85,-2.1,1.53,48.69,-12.5,3.75
-0.93,-2.45,1.71,47.88,-14.81,1.12
-1.29,-2.67,1.72,44.44,-16.87,-1.37
-1.66,-2.84,1.7,39.44,-16.94,-2.75
-2.03,-2.66,2.31,33.38,-16.75,-2.31
-2.2,-2.52,2.31,28.5,-16.69,-2.37
-2.35,-2.43,2.15,24.69,-15.63,-0.75
-2.66,-2.16,1.6,21.87,-11.75,1.69
-2.77,-1.91,1.39,18.81,-7.56,3.69
-2.79,-1.6,1.17,15.94,-3.5,6.0
-3.15,-1.24,0.97,13.31,-0.19,8.38
-2.9,-0.88,0.74,12.69,3.44,10.31
-2.86,-0.89,0.56,13.63,8.81,10.13
-2.75,-0.84,0.53,14.31,11.31,10.5
-2.73,-0.81,0.62,15.0,12.56,10.88
-2.84,-0.72,0.44,16.0,14.81,10.25
-2.85,-0.68,0.32,16.81,16.37,10.25
-2.46,-0.44,0.84,17.37,17.19,10.75
-3.29,0.5,1.27,18.0,15.38,10.75
-3.18,0.37,0.78,21.62,9.38,11.81
-3.19,0.17,0.59,26.87,10.06,13.25
-3.47,0.03,0.26,31.62,16.25,12.19
-3.55,0.01,-0.29,33.94,20.69,13.06
-3.41,0.0,-0.58,34.38,26.44,13.81
-4.02,-0.06,-0.91,35.0,31.75,14.69
-7.47,-1.12,-3.35,37.88,29.31,20.5
0.63,-0.32,0.52,32.81,34.44,37.94
-0.72,-0.07,0.39,20.12,42.75,22.69
-0.85,1.31,-0.37,19.37,18.12,18.44
0.31,0.82,-1.27,26.69,1.19,25.62
-1.62,-0.38,-1.5,24.19,-16.69,25.25
-1.61,-0.16,-1.95,13.81,-40.63,31.0
-0.97,0.03,-1.82,9.81,-46.5,38.25
0.17,0.72,-0.53,6.12,-29.62,31.5
0.85,0.36,-0.29,10.69,-12.5,29.0
1.3,0.09,-0.2,15.38,-4.87,32.25
1.72,-0.01,-0.05,12.06,-6.19,31.56
1.93,0.25,0.19,6.37,-14.13,31.81
2.12,0.61,0.11,-0.25,-22.81,31.62
2.1,0.86,-0.13,-3.81,-28.62,29.37
2.11,0.94,-0.63,-2.75,-32.81,26.0
1.2,0.71,-1.46,-1.87,-37.0,21.87
0.65,0.66,-1.53,-2.94,-39.56,19.25
0.36,0.61,-1.37,-7.31,-36.5,18.69
0.83,0.87,-0.77,-15.81,-25.94,18.44
0.79,0.68,-0.58,-20.0,-15.75,16.94
0.76,0.5,-0.13,-23.06,-10.44,18.37
0.83,0.35,0.57,-26.25,-4.56,20.19
0.73,0.15,1.86,-28.25,0.75,21.5
0.5,-0.25,2.49,-28.12,5.69,26.06
