Accel_X,Accel_Y,Accel_Z,Gyro_X,Gyro_Y,Gyro_Z
0.25,0.15,0.02,7.06,3.25,-14.56
0.21,0.22,0.05,7.56,3.69,-14.94
0.22,0.23,0.03,8.0,4.25,-15.25
0.28,0.23,0.01,8.44,5.25,-15.25
0.31,0.23,0.0,8.44,6.31,-15.75
0.3,0.24,-0.02,8.44,7.25,-15.81
0.29,0.27,-0.03,8.56,7.37,-16.0
0.29,0.26,0.0,9.06,7.12,-16.69
0.25,0.26,-0.03,9.31,6.56,-17.06
0.27,0.28,-0.01,9.44,6.0,-17.75
0.24,0.29,-0.07,9.44,5.87,-18.5
0.27,0.27,-0.1,9.69,6.19,-19.37
0.28,0.26,-0.04,9.81,5.94,-20.0
0.25,0.14,-0.1,9.88,5.87,-20.62
0.25,0.1,-0.09,10.06,5.37,-21.25
0.21,0.03,-0.09,10.19,4.87,-21.87
0.18,0.05,-0.07,10.31,4.5,-22.62
0.13,0.03,-0.06,10.06,4.5,-23.19
0.14,0.01,-0.02,9.94,4.62,-23.94
0.1,0.03,-0.05,9.94,4.62,-23.94
0.13,0.03,-0.09,9.81,5.06,-24.44
0.08,0.01,-0.09,9.94,5.31,-24.5
0.1,0.0,-0.08,10.06,4.94,-24.56
0.06,-0.02,-0.08,10.69,4.81,-25.06
0.07,-0.01,-0.08,10.69,4.81,-25.06
0.04,-0.02,-0.16,10.75,5.0,-25.0
0.07,-0.01,-0.18,10.69,4.94,-24.87
0.05,-0.03,-0.2,10.69,4.94,-25.19
0.05,-0.14,-0.19,10.31,4.44,-25.56
0.01,-0.18,-0.2,10.31,4.44,-25.56
0.0,-0.2,-0.21,9.75,4.37,-25.62
-0.01,-0.2,-0.2,8.25,5.44,-25.12
0.02,-0.14,-0.22,7.31,6.31,-24.5
0.07,-0.08,-0.22,6.69,7.19,-23.81
0.17,-0.11,-0.16,6.69,7.19,-23.81
0.19,-0.06,-0.14,6.69,7.5,-23.56
0.17,0.04,-0.16,7.44,5.87,-23.12
0.17,0.06,-0.21,8.0,5.75,-23.0
0.26,0.1,-0.17,8.31,6.37,-22.75
0.32,0.03,-0.19,8.25,6.31,-23.12
0.38,0.08,-0.19,8.63,6.0,-22.69
0.42,0.09,-0.15,9.13,4.94,-24.19
0.4,0.1,-0.16,9.31,4.25,-24.5
0.45,0.1,-0.16,9.25,4.37,-24.0
0.48,0.17,-0.15,8.94,5.06,-24.06
0.54,0.19,-0.18,9.13,5.19,-24.5
0.6,0.2,-0.18,9.06,5.0,-25.19
0.62,0.16,-0.1,9.25,4.44,-25.75
0.61,0.16,-0.11,9.25,4.62,-26.69
0.57,0.17,-0.07,8.94,5.31,-27.44
0.57,0.18,-0.07,8.56,6.06,-27.31
0.6,0.19,-0.08,8.31,6.87,-27.37
0.63,0.21,-0.07,8.38,7.19,-28.44
0.65,0.21,0.0,8.75,6.87,-29.06
0.54,0.2,-0.02,9.0,6.12,-29.31
0.52,0.19,-0.02,9.06,5.69,-29.44
0.46,0.14,-0.03,9.0,5.81,-29.69
0.42,0.15,-0.06,8.5,6.87,-29.37
0.39,0.18,-0.05,7.81,8.44,-29.19
0.43,0.2,-0.03,7.44,9.63,-29.19
0.45,0.18,-0.02,7.44,10.13,-29.0
0.43,0.14,0.0,7.25,10.0,-28.5
0.38,0.08,0.0,6.87,10.25,-28.19
0.35,0.07,0.0,6.31,10.63,-27.81
0.35,0.06,-0.02,5.87,11.38,-27.5
0.36,0.02,-0.06,5.19,12.31,-27.06
0.42,-0.01,0.0,4.25,13.75,-26.5
0.39,-0.03,0.01,3.12,14.63,-25.62
0.35,0.0,0.01,2.06,16.0,-25.19
0.3,0.04,0.07,1.06,17.56,-24.69
0.28,0.08,0.06,0.0,19.69,-24.5
0.32,0.14,0.11,-0.44,21.0,-24.5
0.39,0.18,0.12,-0.25,21.12,-24.56
0.56,0.18,0.11,0.06,20.12,-24.5
0.54,0.18,0.11,1.0,18.62,-24.81
0.52,0.17,0.17,2.12,17.12,-25.06
0.43,0.16,0.12,3.06,15.94,-25.62
0.46,0.17,0.09,3.87,15.94,-25.31
0.45,0.2,0.03,5.12,16.06,-27.12
0.47,0.17,0.06,6.31,15.81,-28.12
0.48,0.18,-0.05,7.5,15.5,-28.12
0.48,0.19,-0.01,8.19,15.06,-28.5
0.46,0.18,-0.02,9.06,15.06,-28.81
0.41,0.16,-0.03,9.44,14.94,-28.69
0.45,0.14,-0.09,9.69,14.88,-28.37
0.51,0.14,-0.12,10.0,14.69,-28.81
0.51,0.13,-0.1,10.56,13.75,-29.31
0.51,0.09,-0.07,10.94,12.88,-29.12
0.42,0.1,-0.15,11.44,12.63,-29.37
0.46,0.1,-0.19,11.5,12.19,-29.44
0.47,0.07,-0.17,11.88,12.56,-29.87
0.45,0.05,-0.14,11.94,12.44,-30.19
0.44,0.04,-0.09,12.06,12.0,-30.56
0.39,0.0,-0.08,12.0,11.5,-30.69
0.36,-0.05,-0.12,12.13,11.13,-30.44
0.31,-0.07,-0.11,12.0,10.81,-30.31
0.3,-0.03,-0.08,11.56,11.0,-29.62
0.3,-0.06,-0.05,11.38,11.69,-28.94
0.3,0.0,-0.09,11.31,11.69,-29.0
0.31,0.06,-0.07,11.5,11.25,-28.94
